Address,Wallet Total Value,Update Time,ETH Amount,ETH Value,Spot Value,Lido Value,DeFi Swap Value
0x7350dc1c9c0b154c851e81ae3da3e99aa4d7b36b,10529356,2024/01/31,8.646,371305.11,983374,6914434,0
0x9199cc44cf7850fe40081ea6f2b010fee1088270,9353845,2024/01/31,424.0429,1044857,1052517,8291350,0
0xf219c9f258100e247053ad462ffd88c4e1138ac9,9139372,2024/01/31,997.7079,2203700,2205729,0,0
0x513f0d091a47fb701203c8c26d37de2ebeab551e,8931716,2024/01/31,3147.9219,7361667,8931716,0,0
0x1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d,6443084,2024/01/31,413.0656,967036.07,6443084,0,0
0x4ef2ab73ef2214ebeba6f087a8dcf89731504301,5579177,2024/01/31,1730.0884,4048943,5473063,0,0
0x3a1195b1a5087f8871a3941175f8d57711977729,5019360,2024/01/31,709.6643,1656207,1656436,0,0
0x277c531de1ba651432894681b15b17327288e57e,3262495,2024/01/31,3238745.7315,3237369,3262495,0,0
0x9eb46243193e7e387600926d2d717dce23648bc6,2526046,2024/01/31,1080.9713,2526046,2526046,0,0
0x08d93188c4c439651993f0c6656ed1253238e451,2431045,2024/01/31,15564.5412,543202.49,778811,0,0
0x98c3c6bd0ea2cccb54f43c1f3ac944935da23a4a,2413943,2024/01/31,469.1422,1096324,1104565,1309378,0
0xdb9239e9502fd3c844e0c89024ab8c08734d7559,2161044,2024/01/31,923.2072,2161043,2161044,0,0
0x2778420cfed7eaab1882085ef148f772f127d60a,2025250,2024/01/31,827.2704,1936160,2025250,0,0
0x964dc6ce8c35d93f9861e498898e76f27f2a882c,1811366,2024/01/31,527236.2332,527209.87,542246,0,0
0x49f473460c13d94ebc05e34dfeb0e3692d8e42bc,1755729,2024/01/31,752.7326,1755711,1755729,0,0
0x82a55ae5811b9e3579a1252f3abb20677f7aa3e2,1755399,2024/01/31,614.178,1435592,1755399,0,0
0x99b9bdddd62549ad240009958eb4b35f2bfd1ea8,1749408,2024/01/31,534.3984,1250492,1749408,0,0
0x4a99c03abf4e3481dbe449abcde8b4045fd54512,1744072,2024/01/31,531.1568,1243072,1744072,0,0
0x270042a7623a90e6ebe6ae6e3263d61896b46906,1667851,2024/01/31,1558640.0047,236743.59,736639,0,0
0x325c85e274ff4997e5ec300c7178e1695419b211,1660123,2024/01/31,709.2117,1660123,1660123,0,0
0x4f0789cae0f9f1283579bf5c430f1bace00f6270,1648338,2024/01/31,1.5427,3602.53,3641,0,0
0x05f7758559f2a9715345a60d69ca70d620795f62,1623273,2024/01/31,100000,1577556,1623273,0,0
0x14efa7a804b255f5232daf42b1dfbb877a87d296,1569618,2024/01/31,544.1599,1271016,1569618,0,0
0x56d822a2487e1023b33cb215810a83a5fb7607aa,1529259,2024/01/31,445.5369,1042784,1042784,486475,0
0x16aec746529cab548a33ae0ca52a2913a8fafe26,1495443,2024/01/31,639.9833,1495442,1495443,0,0
0xa630153f8e05ec04951312f722b0755845e75f92,1493990,2024/01/31,638.3096,1493976,1493990,0,0
0x0f576fe0a916ca39ee929f0cc956cfc9d2a59c12,1445158,2024/01/31,531.0219,1240611,1355816,2610,0
0xe910a2583d7b6fe4f6cac9679dbbeef14dccdd7c,1443811,2024/01/31,530,1241069,1443811,0,0
0x8804efac346ca9926698f1a744ba5094818c5d33,1416700,2024/01/31,372757.39,372757.39,374854,9563,0
0xc67456777782d3ed79df05bddbb19e2b6354b182,1399064,2024/01/31,599.0772,1399043,1399064,0,0
0x3a19036a8264f86a71298d1df401bd7901ddbc62,1373697,2024/01/31,587.3736,1373697,1373697,0,0
0x1e16b4614ab1feeb78bac20016c6b34db5500fbb,1354294,2024/01/31,580.4473,1354294,1354294,0,0
0x047f0e7a19b6a84c3fde1cd777199e8976f9966c,1352957,2024/01/31,543.2386,1269538,1352957,0,0
0x3d61b27e22ce3f4d3bc93914c02fcc997715802c,1336511,2024/01/31,547.8958,1277945,1336511,0,0
0x8c0826f03ba20891fb43dff9f8660abc92cd7c3f,1328985,2024/01/31,561.6785,1312704,1328985,0,0
0x35d7b2e015abaf672a372892db666bc4afdb33e0,1323042,2024/01/31,543.9946,1270918,1323042,0,0
0xed3835eaf9367f7943b6520e27ea6c23144d4a86,1317630,2024/01/31,521.4897,1220453,1231778,0,0
0x8ba5d575a28b38770a8b971896422ef6b800a288,1313069,2024/01/31,10.0743,23578.08,39476,0,0
0x4e2310191ead8d3bc6489873a5f0c2ec6b87e1be,1305528,2024/01/31,548.9956,1280389,1305528,0,0
0x08e821a13afc95bc8f777d96d18d66638dfd1ba0,1297332,2024/01/31,492.2076,1151303,1297332,0,0
0xb3e11e594b2e6627062f9e66a5edea629fd9f3bb,1295106,2024/01/31,554.0321,1292191,1293682,0,0
0xdfaf31e622c03d9e18a0ddb8be60fbe3e661be0a,1293706,2024/01/31,548.7977,1279906,1293706,0,0
0x59389a554d044d4b3bed659834a248c59957f168,1288112,2024/01/31,545.8073,1274362,1288112,0,0
0xcf1078e69df92c239a6e14537938f02aa931ad9b,1287708,2024/01/31,546.46,1275979,1278305,0,0
0x58091398e2814b9dc5fe51c208b991f98e096247,1281893,2024/01/31,549.5428,1281792,1281893,0,0
0x474cad6b557fddc606265f225bda72405ce936ff,1281718,2024/01/31,549.511,1281718,1281718,0,0
0x5bbc6dbb35e91de37a8bba9f4259a7f8e1c93a08,1280695,2024/01/31,549.1431,1280695,1280695,0,0
0x9209e57d46962f81672454ef4c4fa4e0c36d280c,1280139,2024/01/31,548.888,1280139,1280139,0,0
0x2c6a4cd7759dfd03165c61dc632530df0e2c16b5,1279127,2024/01/31,548.4027,1279127,1279127,0,0
0xed7906a07735cc82ddf1b26ef2a69204a2befa94,1278225,2024/01/31,547.8632,1278225,1278225,0,0
0xa58eb774b4bf1d675ad6d9a10fc4fc3221a694ce,1277523,2024/01/31,547.7687,1277523,1277523,0,0
0x06b0179f6239d71a4440f6f147f8553edbd8dbf4,1276415,2024/01/31,546.8741,1276415,1276415,0,0
0xaa40d2d88b0ddd31e4af6497bb9a0a6949b66593,1275882,2024/01/31,546.3485,1275882,1275882,0,0
0x151350753653262db96b1258c70483dfeebff333,1275638,2024/01/31,546.2438,1275638,1275638,0,0
0x7ea8f4bada03481c266fa6a9516377fe0bf63493,1273869,2024/01/31,545.5893,1273853,1273869,0,0
0xb781ff9d3f9abb8272a8bd9b5b0cc667c5c7e25c,1273282,2024/01/31,545.3446,1273281,1273282,0,0
0x32ff478db1f20d4f6b05ec231f8bd475b1ea8f0f,1273077,2024/01/31,545.0009,1272354,1273077,0,0
0x75bded0947bbda88e4584bd08fb863217456daf0,1272770,2024/01/31,545.1647,1272769,1272770,0,0
0xda5e08d51430aee4104c5d2960a7f6ef156414a7,1272677,2024/01/31,544.9526,1272677,1272677,0,0
0x5edb1ac943a6bea48cae83e8bca61b2150122b9c,1272628,2024/01/31,545,1272613,1272628,0,0
0xa59d38df5f3bffbf6e28bff4beae8553552180b8,1272626,2024/01/31,544.9036,1272393,1272626,0,0
0xc016184b209802dfeb30a6484c873f93d6009caa,1272607,2024/01/31,544.9973,1272607,1272607,0,0
0x96a09e1ecdc4af1edf82c3ed64efdd6018109a3e,1272362,2024/01/31,545.0047,1272362,1272362,0,0
0xf449e1fcff497afb163d87e33dfe641f6dee72ee,1271552,2024/01/31,543.9992,1270891,1271552,0,0
0xe39389498a0d44c36d2cf7e6dc5a088a5b5deb1c,1271053,2024/01/31,544.31,1271007,1271053,0,0
0x3daaeb4518b997b281e25618d8e0efa6b7ccbf39,1270946,2024/01/31,544.1891,1270899,1270946,0,0
0x77023d06efc06ab39608558af606d54092584106,1270722,2024/01/31,543.9106,1270722,1270722,0,0
0x11152ab7935b28dec92b3ed2e215d3ae12778a0b,1270452,2024/01/31,541.6695,1265789,1270452,0,0
0xbf07daeebf23b204fbbc171202de470d11f30bb1,1270145,2024/01/31,543.6635,1270145,1270145,0,0
0xe7af635925d1a5a2cde1e0c51e6cbb38730bfdcd,1270069,2024/01/31,544.5914,1270069,1270069,0,0
0xde6159542bc0b7a5c993d70542babebe4afc1e3a,1269319,2024/01/31,543.5286,1269319,1269319,0,0
0x33db6dd0baba294917ec99bd58fdb0d1f00cabb9,1269038,2024/01/31,543.4016,1269022,1269038,0,0
0xe9e11572d8f8408b7c68bfdc1b17f610d0896d6e,1268213,2024/01/31,542.7391,1268213,1268213,0,0
0xffcd233cda483fe676889a72e649dd86b96bd60b,1267790,2024/01/31,542.5579,1267790,1267790,0,0
0x5631a07589d1c587006d40eff22672804009263e,1267768,2024/01/31,542.8412,1267713,1267768,0,0
0x0007a3f6a0dc83c299f1076bbfc2799fe940c0b9,1267355,2024/01/31,541.9995,1266642,1267355,0,0
0x7535d978c70b1b61c4cf3f1519ab6f38240ac7cc,1267102,2024/01/31,542.1963,1267102,1267102,0,0
0xf851fdefda9d753f25e9bc076892c6cd57b9fc2a,1266197,2024/01/31,541.1097,1266197,1266197,0,0
0xee5009ccac006f3e719d221b8d77f5854940eb62,1265832,2024/01/31,541.6876,1265832,1265832,0,0
0x731e063e60ac25bb3da324d43af3e03bfe735cac,1265554,2024/01/31,541.5574,1265538,1265554,0,0
0xe169aaf838a4c9ea5072afa76998cc677462a092,1265504,2024/01/31,541.5425,1265504,1265504,0,0
0xf55c1a9b613c796d1db1ed45c4256c544bc99970,1264519,2024/01/31,541.1076,1264498,1264519,0,0
0xc6a3dd077a4fca564d5c5c78eaacc29ba63570ec,1263526,2024/01/31,540.7306,1263498,1263526,0,0
0x7312392007aa71cec3fe2994e22e040979ed86da,1263255,2024/01/31,540.6267,1263255,1263255,0,0
0x1174398983161c40391f8e82b5cf3c162deae2f4,1263194,2024/01/31,540.5883,1263160,1263194,0,0
0x6dc8a46ab80ed97e4073b96f78554a536e2e7152,1262715,2024/01/31,540.2555,1262669,1262715,0,0
0x66f30a4907f452775b3f189bd3c20621663fba58,1262671,2024/01/31,540.379,1262671,1262671,0,0
0x04aa5b084e018347a98568cc5bbdf1c49ba68218,1262308,2024/01/31,540.0944,1262292,1262308,0,0
0x3097df3bb5cb5039ae090be444103f96bd45340a,1262094,2024/01/31,539.93,1262049,1262094,0,0
0x9ce4b2dc3177382bb307ae1b54417af812386a85,1261715,2024/01/31,539.7778,1261693,1261715,0,0
0x85627b1abfb2f2e41e1bcf09db90014ab2d30055,1261213,2024/01/31,539.5561,1261212,1261213,0,0
0x193a8d974f2c7b0e2c3816183fc784fef746f0d4,1261109,2024/01/31,539.5118,1261109,1261109,0,0
0x690bbb868ccf412c9f0650bddf13c91651123357,1259712,2024/01/31,539,1259697,1259712,0,0
0x16636a65e499b000747d46c6d485b8678564e4cf,1259711,2024/01/31,539.0058,1259711,1259711,0,0
