Address,Wallet Total Value,Update Time,ETH Amount,ETH Value,Spot Value,Lido Value,DeFi Swap Value
0x0639556f03714a74a5feeaf5736a4a64ff70d206,79214973,2024/01/31,586040.4643,9132923,79214973,0,0
0x5183fed33e8bc603b3b6100c46cf866ed200b66e,13039041,2024/01/31,11827863.7904,11818815,13039041,0,0
0x7350dc1c9c0b154c851e81ae3da3e99aa4d7b36b,10529356,2024/01/31,8.646,371305.11,983374,6914434,0
0xfeae9fe11170fc19b6f40796fd1debfa360daacc,10153870,2024/01/31,500000,987453.14,1999355,0,0
0x9199cc44cf7850fe40081ea6f2b010fee1088270,9353845,2024/01/31,424.0429,1044857,1052517,8291350,0
0xf219c9f258100e247053ad462ffd88c4e1138ac9,9139372,2024/01/31,997.7079,2203700,2205729,0,0
0x513f0d091a47fb701203c8c26d37de2ebeab551e,8931716,2024/01/31,3147.9219,7361667,8931716,0,0
0xddfe74f671f6546f49a6d20909999cfe5f09ad78,8198830,2024/01/31,100118.3019,38576.11,63251,585722,0
0x976868c1de3b3ef448ec5e20e6a8470508b9467d,7948105,2024/01/31,246.5989,568326.55,568372,0,0
0xb98cdacd006b9d47c37ca63cc86f916ee23fc550,7110152,2024/01/31,7085373.5849,5433826,6844560,0,0
0xe6ba08ebcf791eb7b3622fc90a69882d37701752,6942617,2024/01/31,1606.4357,3696730,6942617,0,0
0xd5431fecbb14f20f8ee68360b586d84d589f9f77,6545697,2024/01/31,1838.4881,4247919,4939811,0,0
0x1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d,6443084,2024/01/31,413.0656,967036.07,6443084,0,0
0xf63f5fcc54f5fd11f3c098053f330e032e4d9259,6367528,2024/01/31,945.7759,2186416,2413821,0,0
0xbb94b94bc980c857112fabdff524f56f2bb93b7a,6207635,2024/01/31,134.1865,309506.51,339534,5868100,0
0xfc028bfa8d4e4073990dfdc6f00fcd23c6ff4145,6131129,2024/01/31,5002000,3829947,6131129,0,0
0xdc421b1ee121dd8cc7f3a4fab9d1a4d000a5d67c,5779942,2024/01/31,3953163.0539,3950099,5779942,0,0
0x4ef2ab73ef2214ebeba6f087a8dcf89731504301,5579177,2024/01/31,1730.0884,4048943,5473063,0,0
0x405237f3b039be62692bffce30badf965f7f5e39,5308936,2024/01/31,18.7952,43416.14,94563,47082,0
0x3a1195b1a5087f8871a3941175f8d57711977729,5019360,2024/01/31,709.6643,1656207,1656436,0,0
0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,4445907,2024/01/31,365.896,740351.49,4352295,0,0
0x4b85a658bd606ba20745fdc644a109eba9abe553,4233348,2024/01/31,250000,152809.42,334260,3899087,0
0x7e345d656782084bbc2c6ef1a1c2127c471f12da,3804874,2024/01/31,1651.2491,3804874,3804874,0,0
0xb603bade19edcd95a780151a694e8e57c15a066b,3559954,2024/01/31,148.5057,343196.70,506047,0,0
0xbc9a9ac7dc36b1706732374bf632ef39fb6efbc3,3373053,2024/01/31,1444.2374,3332794,3373053,0,0
0xf455bb2ac22ed7171e0033a614bf70163b157881,3371417,2024/01/31,715.0401,1653022,1832049,232636,0
0xca4b9039f50473d13e1754c192831eed41409a48,3365108,2024/01/31,47.4974,109831.07,236290,1565896,0
0x277c531de1ba651432894681b15b17327288e57e,3262495,2024/01/31,3238745.7315,3237369,3262495,0,0
0x8656ab5b1a31007a77505bba3457492e19770a8d,3210159,2024/01/31,45,1919691,3210159,0,0
